genus	root_og	n_clusters
Enterococcus	COG1340	2
Francisella	COG0053	14
Yersinia	32ZC4	15
Klebsiella	COG3860	3
Pseudomonas	347XI	1
Vibrio	COG3476	3
Vibrio	339ZG	6
Pseudomonas	31887	1
Neisseria	32YQV	2
Salmonella	32UZ7	1
Acinetobacter	33S5N	1
Bacillus	2ZC07	2
Chromobacterium	2ZABB	4
Burkholderia	4QEW7	3
Neisseria	COG3090	3
Yersinia	31UX4	4
Yersinia	31UI9	2
Serratia	2ZREC	3
Salmonella	COG0128	12
Pseudomonas	COG3737	1
Serratia	33B9K	9
Enterococcus	COG1506	3
Chromobacterium	COG1442	1
Bacillus	COG5314	2
Salmonella	32YBK	7
Burkholderia	33XP1	1
Listeria	COG2913	1
Vibrio	2Z7NC	1
Chromobacterium	COG4995	2
Clostridioides	COG0792	10
Klebsiella	COG4322	3
Burkholderia	33BEQ	5
Serratia	2ZUMP	1
Francisella	COG3216	4
Erwinia	2Z8H7	1
Clostridioides	COG5523	6
Mycobacterium	COG1749	2
Burkholderia	33V96	5
Legionella	COG3652	6
Yersinia	32XHF	11
Vibrio	COG4309	1
Serratia	33WUA	3
Serratia	2ZS22	4
Erwinia	COG3907	11
Pseudomonas	33MIN	5
Proteus	COG2002	4
Erwinia	330SP	8
Burkholderia	33IV0	2
Enterococcus	COG4680	1
Pseudomonas	33KEE	2
Vibrio	COG2508	5
Pseudomonas	2ZA8Y	7
Acinetobacter	COG2445	12
Mycobacterium	2Z8HD	8
Serratia	339ZG	6
Legionella	2Z8UT	4
Streptococcus	COG2234	6
Acinetobacter	31U7C	1
Acinetobacter	32FKQ	11
Yersinia	323DY	8
Klebsiella	COG3178	3
Klebsiella	315UG	1
Vibrio	2ZC0F	1
Chromobacterium	33D8X	2
Mycobacterium	COG3278	1
Streptococcus	2ZA8Y	3
Clostridioides	COG3689	3
Chromobacterium	COG4932	10
Serratia	COG1724	8
Erwinia	32MNM	1
Pseudomonas	COG3949	10
Mycobacterium	COG2891	1
Burkholderia	32TH1	3
Chromobacterium	COG1189	15
Salmonella	COG5360	2
Salmonella	33WUA	3
Proteus	31IZZ	14
Serratia	33E4B	3
Pseudomonas	33A95	4
Pseudomonas	32SGX	3
Salmonella	340QY	2
Salmonella	COG1696	9
Enterococcus	32Z18	1
Corynebacterium	COG1752	3
Neisseria	COG3673	10
Streptococcus	COG1146	1
Clostridioides	COG1524	5
Pseudomonas	COG5290	8
Erwinia	COG1288	4
Burkholderia	COG1948	2
Burkholderia	33AGG	2
Vibrio	COG4570	3
Salmonella	COG2873	12
Staphylococcus	2ZBTG	2
Burkholderia	32T6N	3
Helicobacter	33V5E	1
Erwinia	4QHG0	2
Vibrio	33D8X	7
Neisseria	32QN7	1
Burkholderia	31JSA	2
Acinetobacter	32UUC	5
Burkholderia	COG3676	2
Chromobacterium	COG5637	6
Streptococcus	COG1331	4
Campylobacter	COG3039	2
Burkholderia	33BHV	7
Listeria	2Z7VT	6
Clostridioides	COG1868	7
Pseudomonas	2ZB6E	1
Pseudomonas	3185B	2
Chromobacterium	32UYH	6
Streptococcus	COG3602	2
Legionella	2ZVTY	2
Legionella	33CJJ	1
Proteus	COG3757	1
Listeria	COG1606	1
Klebsiella	33E29	1
Mycobacterium	COG3105	3
Erwinia	32RV5	1
Pseudomonas	32VVK	1
Listeria	COG2509	1
Neisseria	COG3448	8
Burkholderia	33D8X	5
Klebsiella	34A6U	6
Burkholderia	3340W	1
Pseudomonas	COG4424	5
Serratia	32WRD	1
Acinetobacter	31QPX	1
Serratia	33Y3G	3
Enterococcus	2ZA6T	1
Burkholderia	33Q38	5
Klebsiella	COG5380	1
Burkholderia	2Z8GC	2
Chromobacterium	COG1864	2
Chromobacterium	335AZ	1
Chromobacterium	COG4922	4
Proteus	33CJJ	3
Legionella	331KP	2
Burkholderia	338YW	4
Burkholderia	COG1784	15
Salmonella	COG1659	2
Acinetobacter	COG2442	1
Burkholderia	3386V	7
Vibrio	2Z8FS	6
Burkholderia	34BWZ	5
Erwinia	COG1373	1
Bacillus	2Z8DI	1
Streptococcus	COG1433	3
Clostridioides	COG3454	6
Pseudomonas	COG2035	1
Salmonella	COG2021	2
Chromobacterium	342T1	1
Pseudomonas	COG1647	2
Francisella	COG2184	2
Proteus	COG5039	2
Serratia	2Z9K9	1
Salmonella	COG4964	3
Staphylococcus	COG1373	4
Serratia	32UKY	1
Enterococcus	2ZC7P	2
Corynebacterium	COG3358	8
Chromobacterium	2ZG4Y	9
Burkholderia	32ZC4	2
Vibrio	32ZRK	5
Vibrio	32QHH	1
Salmonella	COG1435	11
Burkholderia	2ZDB4	2
Klebsiella	32ZX9	1
Corynebacterium	COG3380	1
Francisella	COG0299	10
Erwinia	3368B	2
Legionella	303CN	6
Bacillus	COG1032	2
Staphylococcus	COG3236	2
Legionella	COG1553	1
Staphylococcus	COG0424	1
Yersinia	2Z8WH	2
Klebsiella	COG4856	1
Acinetobacter	32Z6E	1
Legionella	COG4275	1
Burkholderia	347Z2	1
Burkholderia	COG3180	7
Mycobacterium	316WP	1
Staphylococcus	COG1858	3
Yersinia	COG3011	4
Salmonella	32ZEV	5
Mycobacterium	COG5581	1
Enterococcus	COG3093	5
Neisseria	COG4870	3
Erwinia	32XS6	2
Bacillus	303CN	8
Corynebacterium	32YF6	9
Proteus	COG5302	8
Acinetobacter	COG3714	1
Salmonella	2Z7V0	1
Proteus	32VTH	16
Mycobacterium	COG5472	5
Legionella	3380G	2
Proteus	COG3576	1
Vibrio	33PZ9	4
Streptococcus	COG1934	7
Serratia	32XEB	2
Erwinia	32RM4	2
Pseudomonas	2Z8K0	4
Corynebacterium	COG3454	1
Proteus	COG2981	14
Klebsiella	2ZB96	3
Mycobacterium	COG1938	3
Acinetobacter	32RYW	1
Corynebacterium	COG1033	9
Burkholderia	2ZH0C	2
Klebsiella	303CN	6
Campylobacter	COG0823	13
Enterococcus	COG3129	1
Serratia	COG4336	1
Burkholderia	344VW	1
Salmonella	COG5504	6
Corynebacterium	COG4329	1
Staphylococcus	COG5569	1
Pseudomonas	2Z819	7
Burkholderia	2ZCQ2	9
Corynebacterium	COG3236	7
Helicobacter	COG0384	1
Serratia	COG3246	2
Yersinia	31IAW	2
Salmonella	2ZF58	5
Salmonella	346CS	1
Mycobacterium	COG3042	1
Bacillus	COG2909	2
Yersinia	COG1619	4
Yersinia	COG5449	1
Acinetobacter	2ZCHN	3
Bacillus	COG0378	7
Klebsiella	COG3360	3
Vibrio	329SQ	2
Erwinia	32TCH	1
Francisella	COG0553	6
Streptococcus	COG3540	1
Vibrio	2Z9IK	6
Salmonella	2Z8W2	2
Enterococcus	COG4632	1
Pseudomonas	33Z8H	2
Acinetobacter	COG5486	4
Acinetobacter	COG0647	11
Acinetobacter	COG4866	1
Pseudomonas	2Z9JF	1
Mycobacterium	339N0	2
Serratia	32SS7	2
Enterococcus	COG1310	5
Bacillus	COG1700	1
Mycobacterium	32YRU	4
Staphylococcus	COG2168	1
Klebsiella	32VJD	1
Pseudomonas	2ZCJQ	7
Streptococcus	COG4196	1
Vibrio	32U7G	1
Staphylococcus	COG0412	2
Burkholderia	338NT	2
Streptococcus	COG1033	1
Corynebacterium	2Z9A1	2
Legionella	COG3488	1
Erwinia	2ZB9W	1
Erwinia	330Q4	2
Salmonella	COG3164	12
Corynebacterium	2Z8NN	1
Mycobacterium	32RYT	1
Pseudomonas	COG4152	6
Acinetobacter	3329W	5
Clostridioides	COG1082	7
Streptococcus	COG3926	1
Corynebacterium	32YGW	1
Bacillus	32ZAE	2
Proteus	33FJ9	1
Acinetobacter	32YNP	2
Listeria	339QN	1
Pseudomonas	30CXH	7
Acinetobacter	COG3172	5
Acinetobacter	323BS	5
Mycobacterium	COG4993	4
Pseudomonas	2ZY42	3
Listeria	COG3677	4
Proteus	COG2835	15
Chromobacterium	COG3653	2
Burkholderia	33P6Z	10
Salmonella	COG3258	2
Pseudomonas	2ZI39	2
Pseudomonas	319SZ	1
Proteus	COG3137	3
Burkholderia	COG5439	1
Vibrio	COG5516	1
Helicobacter	COG1853	1
Vibrio	COG4231	3
Klebsiella	COG2941	2
Salmonella	COG3144	9
Streptococcus	32YQV	1
Pseudomonas	330EQ	14
Vibrio	COG2270	1
Proteus	COG4249	4
Serratia	COG0434	1
Staphylococcus	COG3712	1
Klebsiella	2ZAEH	1
Vibrio	3355S	7
Chromobacterium	COG2017	6
Vibrio	2Z7V0	1
Enterococcus	COG2015	3
Yersinia	COG3232	1
Burkholderia	310VA	1
Pseudomonas	COG2872	9
Staphylococcus	COG0455	1
Acinetobacter	32S8K	1
Mycobacterium	COG4632	1
Neisseria	COG4126	1
Staphylococcus	2Z95D	2
Mycobacterium	COG2411	16
Chromobacterium	33UZB	2
Salmonella	2Z7W7	1
Enterococcus	COG2993	1
Clostridioides	COG0220	11
Serratia	330C8	5
Streptococcus	2ZEW2	2
Clostridioides	COG1108	2
Francisella	COG3254	1
Acinetobacter	COG4276	3
Erwinia	31I7A	2
Pseudomonas	2ZQW1	4
Salmonella	COG2882	7
Salmonella	32UXM	11
Streptococcus	32RYD	1
Erwinia	4QBAB	1
Klebsiella	33SU2	1
Serratia	COG2980	10
Francisella	COG0288	11
Clostridioides	COG1539	6
Mycobacterium	COG3866	6
Enterococcus	COG0388	5
Pseudomonas	30M01	1
Chromobacterium	COG2510	3
Pseudomonas	332IY	2
Yersinia	32S2C	2
Legionella	COG5323	1
Proteus	COG2907	1
Pseudomonas	33N4S	2
Salmonella	COG0595	2
Bacillus	COG3626	2
Serratia	COG2273	4
Pseudomonas	2ZBKP	1
Corynebacterium	COG4916	1
Neisseria	COG0619	4
Yersinia	2ZCDZ	2
Francisella	COG1842	1
Vibrio	337N8	3
Acinetobacter	32SS7	2
Vibrio	32VS3	1
Neisseria	COG3548	2
Proteus	COG3680	3
Erwinia	32ZB3	7
Enterococcus	COG5606	1
Yersinia	30C5P	1
Vibrio	337PS	4
Clostridioides	32ZKT	1
Erwinia	33AGT	4
Bacillus	COG2930	2
Streptococcus	COG3151	1
Legionella	COG5010	4
Corynebacterium	COG3657	4
Mycobacterium	COG3047	1
Serratia	32VKN	1
Salmonella	2Z87T	2
Enterococcus	COG0182	1
Pseudomonas	33ETG	1
Mycobacterium	COG3803	1
Yersinia	312E7	10
Legionella	COG3754	6
Staphylococcus	COG0559	3
Enterococcus	COG3710	3
Staphylococcus	COG1310	1
Proteus	2Z8AH	14
Proteus	2Z8ER	4
Neisseria	32WTW	3
Klebsiella	32YV7	6
Salmonella	32NU8	2
Salmonella	COG3729	6
Enterococcus	COG4679	8
Campylobacter	330U0	2
Staphylococcus	COG0729	1
Pseudomonas	2Z95Q	2
Campylobacter	COG4618	6
Acinetobacter	COG2273	4
Francisella	COG0475	12
Burkholderia	33B33	1
Pseudomonas	33184	7
Proteus	COG1878	5
Clostridioides	COG1881	9
Salmonella	33AEK	3
Proteus	2ZF58	3
Klebsiella	2Z7J9	1
Acinetobacter	339WH	3
Salmonella	COG2361	2
Chromobacterium	COG4101	1
Serratia	32N8M	2
Salmonella	2Z9A2	5
Acinetobacter	COG3914	5
Proteus	2ZBRB	2
Bacillus	COG0848	2
Acinetobacter	334YR	1
Legionella	COG4430	3
Acinetobacter	COG4568	1
Pseudomonas	31GUW	4
Erwinia	COG4618	2
Vibrio	COG4915	2
Bacillus	2Z7QR	1
Chromobacterium	COG2348	3
Bacillus	COG3185	1
Acinetobacter	COG4422	2
Burkholderia	32XGT	2
Serratia	COG4289	1
Enterococcus	COG0853	3
Acinetobacter	33AS4	1
Pseudomonas	33RBH	3
Erwinia	33Y27	1
Serratia	COG1431	2
Vibrio	COG0638	1
Streptococcus	COG0429	2
Francisella	COG2377	14
Pseudomonas	2ZRZ3	1
Acinetobacter	348BF	3
Salmonella	32G90	2
Mycobacterium	COG1811	4
Pseudomonas	33AET	5
Neisseria	2Z8BM	1
Streptococcus	32RPY	1
Neisseria	COG4539	1
Neisseria	COG1474	3
Enterococcus	COG1075	2
Vibrio	31IJS	3
Pseudomonas	33584	5
Streptococcus	COG4385	2
Bacillus	32R2K	1
Pseudomonas	COG4282	3
Clostridioides	COG4976	2
Chromobacterium	COG1568	1
Staphylococcus	33C3Q	1
Pseudomonas	32RNM	1
Klebsiella	COG3737	5
Burkholderia	309KP	1
Burkholderia	330Q4	1
Chromobacterium	COG3011	1
Pseudomonas	COG1678	17
Yersinia	COG2020	5
Pseudomonas	31WRS	3
Serratia	COG5361	3
Serratia	332IV	2
Pseudomonas	31UEN	4
Mycobacterium	COG1355	1
Yersinia	32SH8	2
Corynebacterium	COG3100	1
Mycobacterium	COG0585	1
Enterococcus	COG3575	2
Proteus	COG3626	1
Pseudomonas	COG3778	5
Serratia	30WXZ	1
Burkholderia	33I1W	3
Campylobacter	313PE	6
Serratia	2ZC8Y	6
Serratia	32TKG	3
Klebsiella	33FT9	1
Serratia	2Z8GC	4
Streptococcus	COG3218	1
Klebsiella	33IYT	5
Enterococcus	COG2964	15
Vibrio	COG5502	2
Clostridioides	COG0239	4
Pseudomonas	COG1784	2
Pseudomonas	31TP1	2
Pseudomonas	32HD9	2
Vibrio	2ZWRE	2
Salmonella	COG3030	8
Clostridioides	COG4232	1
Yersinia	3190S	4
Yersinia	31VTD	3
Salmonella	2ZB4Z	3
Campylobacter	COG3077	2
Salmonella	COG4547	8
Pseudomonas	COG1659	4
Pseudomonas	330U8	11
Neisseria	COG3436	3
Chromobacterium	COG2770	1
Francisella	32VR7	2
Erwinia	COG4577	3
Acinetobacter	COG0423	2
Yersinia	336SV	2
Staphylococcus	33FVZ	2
Yersinia	30CP8	3
Klebsiella	2ZUHQ	9
Yersinia	2Z9IK	2
Yersinia	33AWQ	2
Bacillus	COG5470	1
Streptococcus	COG1923	1
Francisella	COG2813	3
Staphylococcus	COG3882	2
Mycobacterium	33DI3	3
Pseudomonas	32H57	2
Helicobacter	COG4529	6
Vibrio	2ZJ49	1
Streptococcus	32UCF	1
Pseudomonas	COG3802	9
Listeria	COG5549	1
Bacillus	COG3370	1
Mycobacterium	COG5455	1
Erwinia	326D7	1
Corynebacterium	COG4069	1
Pseudomonas	33JXJ	2
Erwinia	COG3011	4
Enterococcus	COG3586	3
Serratia	316V4	11
Campylobacter	COG1032	2
Streptococcus	COG2854	1
Burkholderia	33IY1	2
Serratia	COG1432	4
Pseudomonas	34178	1
Bacillus	COG2373	1
Acinetobacter	32BPK	2
Enterococcus	COG1629	2
Burkholderia	315Y3	3
Enterococcus	31VID	1
Yersinia	COG4269	3
Vibrio	32CME	5
Salmonella	2ZWCQ	11
Acinetobacter	COG1722	2
Serratia	34BM8	11
Mycobacterium	COG0795	1
Yersinia	COG3496	5
Salmonella	333YU	1
Salmonella	2Z897	1
Serratia	3386V	6
Burkholderia	4QF6Z	1
Erwinia	32JMB	1
Pseudomonas	31U7C	4
Pseudomonas	3370F	4
Campylobacter	COG2183	1
Enterococcus	2Z8VH	2
Legionella	COG4828	4
Enterococcus	30BD1	3
Mycobacterium	337FT	1
Klebsiella	318WH	1
Mycobacterium	32SHA	3
Acinetobacter	32YC0	1
Corynebacterium	COG1450	2
Mycobacterium	32ZAX	1
Klebsiella	32R7F	1
Serratia	COG4416	1
Vibrio	COG5012	1
Burkholderia	3309K	1
Klebsiella	31T7K	3
Salmonella	32WCY	2
Legionella	2Z8HD	4
Vibrio	32YQ5	1
Klebsiella	3025X	3
Corynebacterium	COG3325	1
Proteus	3322R	2
Burkholderia	2Z8FV	3
Bacillus	2ZVBM	4
Pseudomonas	346T3	4
Streptococcus	COG0648	2
Proteus	COG1784	2
Burkholderia	COG3711	1
Proteus	32ZF0	2
Salmonella	COG1078	3
Enterococcus	33U4J	1
Acinetobacter	COG3882	2
Streptococcus	333D7	1
Enterococcus	COG3919	3
Clostridioides	32BPX	2
Serratia	COG3608	3
Mycobacterium	COG4676	1
Staphylococcus	33G7Y	1
Pseudomonas	2ZW2Q	3
Streptococcus	COG4582	1
Neisseria	COG3597	3
Mycobacterium	COG4775	3
Burkholderia	32WU6	1
Pseudomonas	COG1358	8
Corynebacterium	COG1372	3
Mycobacterium	COG3584	2
Francisella	COG2831	1
Acinetobacter	31TPN	3
Chromobacterium	COG5471	9
Corynebacterium	COG3598	2
Proteus	327XW	9
Helicobacter	COG4770	1
Legionella	COG2270	8
Enterococcus	32SV9	1
Burkholderia	32UK3	1
Bacillus	COG2407	3
Chromobacterium	2ZB75	1
Serratia	32UM0	1
Erwinia	334XJ	4
Corynebacterium	COG1387	1
Mycobacterium	33B5H	1
Clostridioides	COG5606	1
Pseudomonas	33NRU	7
Francisella	COG1783	3
Pseudomonas	31J91	1
Salmonella	33ASZ	3
Erwinia	2ZCFR	2
Streptococcus	COG3500	3
Bacillus	COG3274	1
Legionella	COG4460	4
Proteus	COG5276	1
Salmonella	COG3417	5
Neisseria	COG0297	8
Campylobacter	COG5483	2
Pseudomonas	2Z7UH	1
Campylobacter	COG2091	5
Chromobacterium	31TWK	1
Acinetobacter	341UW	1
Chromobacterium	4QFES	1
Burkholderia	2ZA1D	4
Staphylococcus	COG3555	3
Chromobacterium	COG3097	1
Pseudomonas	32SCF	1
Serratia	2ZBYR	1
Bacillus	COG2609	5
Serratia	COG0759	2
Bacillus	COG4101	1
Vibrio	330UV	1
Yersinia	33CA4	1
Listeria	COG4962	2
Staphylococcus	32TAZ	1
Pseudomonas	31G12	1
Streptococcus	COG3566	1
Clostridioides	COG0378	4
Neisseria	332IV	2
Proteus	COG5435	4
Serratia	30D58	1
Proteus	347VM	3
Pseudomonas	30C5P	2
Burkholderia	COG1193	2
Acinetobacter	COG2361	3
Salmonella	2Z8VY	2
Proteus	325YT	1
Klebsiella	31UX4	7
Listeria	339IV	1
Clostridioides	COG3514	1
Acinetobacter	2ZADC	4
Francisella	COG4249	1
Staphylococcus	COG3576	1
Pseudomonas	2ZC5G	1
Acinetobacter	COG3380	2
Pseudomonas	31JAK	1
Corynebacterium	COG4452	1
Burkholderia	2ZBH6	1
Campylobacter	COG2771	2
Pseudomonas	2ZGUK	1
Vibrio	2ZKJE	5
Erwinia	COG2357	1
Klebsiella	COG3332	2
Bacillus	COG1749	5
Chromobacterium	335S1	2
Streptococcus	COG4540	4
Francisella	COG1074	17
Chromobacterium	COG2310	2
Salmonella	32ZF0	4
Klebsiella	31UHR	2
Mycobacterium	COG1044	2
Pseudomonas	COG1275	9
Yersinia	2Z86F	2
Campylobacter	COG4796	3
Burkholderia	COG3002	7
Streptococcus	COG1496	1
Vibrio	2Z7RQ	1
Streptococcus	COG3516	1
Yersinia	COG3661	2
Clostridioides	COG2839	1
Serratia	COG4564	1
Salmonella	31VTD	1
Burkholderia	COG2149	1
Salmonella	2Z8JW	3
Enterococcus	COG2204	4
Proteus	2ZQNS	1
Erwinia	COG1275	6
Staphylococcus	COG2872	4
Burkholderia	2Z7SY	1
Pseudomonas	32XDF	3
Pseudomonas	3310P	1
Mycobacterium	33IZZ	1
Proteus	COG2888	1
Mycobacterium	COG4192	1
Klebsiella	COG3552	8
Staphylococcus	COG3787	1
Enterococcus	COG5441	2
Clostridioides	COG2913	1
Pseudomonas	2ZB6I	6
Vibrio	32S2Y	1
Burkholderia	COG1568	4
Staphylococcus	COG3858	2
Acinetobacter	30BD1	2
Listeria	2Z9ZE	3
Streptococcus	2ZQRR	1
Salmonella	328KF	7
Listeria	COG3597	2
Corynebacterium	COG0182	1
Burkholderia	2ZBN7	2
Neisseria	COG2310	1
Legionella	COG4932	1
Erwinia	COG3173	6
Acinetobacter	32QYC	6
Francisella	COG3250	1
Legionella	COG3527	4
Salmonella	33H9E	1
Acinetobacter	COG2822	2
Salmonella	COG2151	1
Francisella	COG4262	1
Vibrio	COG4474	1
Pseudomonas	COG0572	3
Listeria	COG0175	1
Erwinia	COG4627	3
Klebsiella	COG4447	2
Salmonella	32UGB	1
Enterococcus	COG3503	1
Staphylococcus	COG4834	2
Vibrio	COG3503	2
Corynebacterium	31UEZ	1
Streptococcus	COG0848	4
Yersinia	2Z847	2
Burkholderia	COG4292	7
Bacillus	COG1433	1
Acinetobacter	3327H	1
Erwinia	2ZX64	1
Vibrio	COG2876	2
Acinetobacter	33MGC	2
Corynebacterium	COG0530	9
Proteus	COG1569	3
Klebsiella	COG3946	1
Erwinia	COG2730	2
Yersinia	32WHD	2
Pseudomonas	342VT	1
Erwinia	COG1236	1
Burkholderia	32R74	4
Clostridioides	COG0248	7
Mycobacterium	COG3813	3
Mycobacterium	COG2882	1
Burkholderia	COG4152	9
Neisseria	33C9R	1
Klebsiella	COG4634	1
Burkholderia	COG4123	2
Pseudomonas	COG3222	6
Salmonella	32Z18	2
Klebsiella	2Z9WM	1
Klebsiella	COG3062	6
Klebsiella	2Z82Y	2
Enterococcus	COG4645	1
Pseudomonas	32QSW	3
Bacillus	33GTT	1
Burkholderia	31PMG	7
Klebsiella	32T42	1
Campylobacter	33235	1
Klebsiella	33KGV	1
Pseudomonas	32SM7	2
Mycobacterium	2Z8K0	1
Staphylococcus	32TA0	1
Burkholderia	2ZN4Q	2
Clostridioides	COG3264	1
Vibrio	2Z8P1	1
Burkholderia	335AZ	1
Listeria	COG1023	1
Neisseria	2Z7XJ	3
Vibrio	COG0785	1
Staphylococcus	COG2905	4
Salmonella	30752	3
Yersinia	303CN	2
Chromobacterium	COG1443	3
Francisella	COG3620	4
Proteus	COG2452	2
Klebsiella	COG3234	1
Burkholderia	COG1564	4
Erwinia	COG1512	2
Campylobacter	COG1752	2
Salmonella	COG1975	2
Legionella	COG1661	7
Helicobacter	COG5293	1
Acinetobacter	2Z8HD	3
Neisseria	32RV5	3
Yersinia	31VID	1
Klebsiella	COG2928	1
Bacillus	325YT	1
Erwinia	2ZB6E	1
Vibrio	33N3M	1
Erwinia	COG3149	2
Neisseria	3368B	4
Klebsiella	2ZCCE	3
Vibrio	31B6Q	5
Erwinia	2Z8ZP	7
Streptococcus	COG2056	1
Yersinia	COG5266	1
Klebsiella	COG3285	3
Neisseria	COG2199	2
Burkholderia	COG3371	3
Burkholderia	316VZ	3
Helicobacter	COG3128	1
Campylobacter	COG3666	1
Pseudomonas	33A7A	2
Klebsiella	COG1799	1
Yersinia	COG5534	3
Chromobacterium	COG3316	1
Erwinia	COG1366	1
Acinetobacter	COG4154	1
Klebsiella	310GM	1
Klebsiella	33WMT	3
Chromobacterium	COG4262	5
Serratia	33N1N	2
Vibrio	COG4092	4
Acinetobacter	2ZAKB	2
Burkholderia	30Y4T	1
Erwinia	COG2374	1
Vibrio	COG3554	1
Vibrio	332DQ	1
Yersinia	32Y5T	4
Campylobacter	COG1704	2
Erwinia	COG0378	5
Pseudomonas	2Z93W	7
Salmonella	COG1834	3
Neisseria	COG5393	1
Pseudomonas	32VCB	2
Bacillus	COG3535	1
Vibrio	COG3760	2
Vibrio	330S6	1
Acinetobacter	4QDD0	7
Salmonella	COG4249	2
Proteus	COG3729	1
Salmonella	COG1402	2
Salmonella	COG3631	6
Vibrio	33E0H	1
Vibrio	2ZB60	6
Acinetobacter	COG3070	1
Vibrio	COG5217	1
Klebsiella	3319W	1
Pseudomonas	COG3882	1
Salmonella	COG5135	1
Proteus	2ZSUK	2
Streptococcus	COG4723	3
Campylobacter	31QWG	2
Salmonella	32RBJ	3
Corynebacterium	2Z7VT	2
Serratia	31R33	1
Streptococcus	COG3267	1
Pseudomonas	338A5	1
Staphylococcus	COG4177	1
Pseudomonas	32NM9	8
Pseudomonas	318DM	1
Yersinia	COG2374	1
Burkholderia	32GE0	1
Salmonella	4QCUC	3
Staphylococcus	32ZEV	1
Enterococcus	COG5185	2
Neisseria	COG4694	5
Klebsiella	33C2I	2
Streptococcus	COG3371	5
Streptococcus	COG3607	7
Francisella	COG3012	3
Streptococcus	33CZ1	2
Acinetobacter	COG3860	1
Mycobacterium	COG1639	1
Bacillus	2ZZD3	1
Enterococcus	COG0132	1
Staphylococcus	COG3919	2
Neisseria	COG4635	1
Chromobacterium	COG5341	1
Pseudomonas	32TX3	1
Serratia	COG2366	1
Klebsiella	33XPP	1
Proteus	2ZC55	2
Burkholderia	COG3898	1
Helicobacter	COG2020	1
Streptococcus	COG3504	1
Pseudomonas	3096N	3
Burkholderia	2ZC9H	2
Salmonella	2ZCD5	5
Enterococcus	COG3756	2
Salmonella	COG2421	1
Vibrio	33PGD	1
Legionella	32VR7	2
Staphylococcus	COG1205	1
Acinetobacter	COG4915	1
Acinetobacter	COG3864	2
Streptococcus	COG0767	2
Campylobacter	COG2433	3
Clostridioides	COG3817	9
Pseudomonas	32R7F	1
Acinetobacter	32YCZ	1
Streptococcus	33JT7	1
Francisella	COG0071	7
Yersinia	2ZB6E	1
Clostridioides	COG5000	1
Proteus	31PG6	2
Klebsiella	3303T	2
Legionella	COG5460	1
Erwinia	33G5S	1
Yersinia	2Z9ZB	4
Klebsiella	COG2426	2
Pseudomonas	32S97	3
Mycobacterium	COG3318	1
Chromobacterium	COG4264	1
Serratia	COG5562	2
Mycobacterium	COG3314	1
Clostridioides	2Z7SX	1
Proteus	32Z13	1
Yersinia	33TXR	1
Burkholderia	32Y1A	1
Salmonella	2ZV0Z	1
Salmonella	COG2326	2
Staphylococcus	30V88	2
Bacillus	COG3188	3
Erwinia	330EP	2
Enterococcus	33UCF	1
Staphylococcus	COG1342	1
Neisseria	2Z9DH	3
Erwinia	COG3667	2
Serratia	COG1402	3
Helicobacter	COG1335	1
Streptococcus	COG4264	4
Pseudomonas	2ZSW0	1
Pseudomonas	32YC0	1
Yersinia	COG4416	2
Neisseria	COG3319	1
Proteus	31E64	1
Enterococcus	2ZE2J	1
Erwinia	32T6N	2
Enterococcus	COG3467	2
Klebsiella	2ZJ8N	2
Acinetobacter	COG3148	1
Clostridioides	COG3254	3
Pseudomonas	2Z7X7	2
Mycobacterium	COG2198	3
Chromobacterium	COG1874	1
Klebsiella	2Z9WV	1
Proteus	COG3845	1
Klebsiella	33MRI	1
Corynebacterium	COG3172	2
Klebsiella	2ZBW2	1
Pseudomonas	COG1924	1
Helicobacter	COG1113	5
Acinetobacter	COG3694	1
Proteus	345VD	2
Klebsiella	COG3537	5
Bacillus	COG3243	1
Burkholderia	33NGE	3
Pseudomonas	COG1324	1
Serratia	COG3474	1
Corynebacterium	COG1293	2
Pseudomonas	32ZQZ	5
Serratia	32EI0	2
Salmonella	3381Q	1
Enterococcus	COG4458	1
Vibrio	33DBI	2
Corynebacterium	COG3450	2
Pseudomonas	32SMV	3
Francisella	COG3299	3
Serratia	COG3236	2
Burkholderia	316YM	1
Salmonella	32UUC	8
Bacillus	2ZBGH	2
Neisseria	2ZAWT	1
Listeria	COG1496	1
Klebsiella	COG2427	2
Enterococcus	COG1578	2
Chromobacterium	3354Z	2
Francisella	COG0739	1
Acinetobacter	32EI0	4
Erwinia	33AP5	2
Listeria	COG2273	3
Erwinia	33YXF	1
Bacillus	COG3903	6
Proteus	3310P	1
Serratia	32U70	1
Chromobacterium	COG2114	3
Klebsiella	2ZISA	1
Streptococcus	COG2124	4
Acinetobacter	30CTH	2
Acinetobacter	COG3708	3
Corynebacterium	COG4991	1
Burkholderia	32RK9	2
Streptococcus	COG3544	2
Neisseria	COG1231	4
Clostridioides	COG3743	3
Burkholderia	3350S	2
Serratia	2ZD3B	1
Neisseria	32SJR	1
Pseudomonas	336SV	1
Erwinia	2Z7UD	2
Campylobacter	2Z8B3	2
Legionella	COG1477	3
Pseudomonas	30SWW	1
Helicobacter	COG1566	3
Yersinia	33GH0	2
Pseudomonas	339TY	1
Proteus	32T4W	1
Vibrio	33Z5J	3
Erwinia	32Z3H	1
Staphylococcus	COG4290	1
Legionella	COG1108	2
Proteus	COG4251	3
Pseudomonas	32TDA	1
Neisseria	2Z8ZQ	1
Erwinia	32THA	3
